VAS	0.6469	0.2536	0.0994	GUA	2	1
PON	0.4325	0.3243	0.2432	BAH	2	0
NAU	0.3628	0.3325	0.3047	ITU	2	0
CRU	0.6625	0.2461	0.0914	CRI	1	1
CRB	0.4347	0.3239	0.2413	SPT	2	0
GRE	0.6463	0.2539	0.0998	VNO	2	1
NOV	0.5659	0.2878	0.1464	CSA	1	1
GUA	0.4551	0.3199	0.2249	SCO	3	0
BRU	0.4046	0.3286	0.2668	VAS	1	0
BAH	0.5980	0.2753	0.1267	TOM	2	1
CHA	0.4774	0.3149	0.2077	PON	3	0
OPE	0.4255	0.3255	0.2490	LEC	1	0
PON	0.4969	0.3099	0.1933	SPT	1	0
CSA	0.4918	0.3112	0.1969	CRB	1	1
NAU	0.4484	0.3213	0.2302	BRU	1	0
CRI	0.4580	0.3193	0.2226	BAH	0	0
ITU	0.5288	0.3005	0.1707	TOM	3	0
LEC	0.5439	0.2955	0.1606	CHA	2	1
GRE	0.5711	0.2858	0.1431	VAS	2	1
SCO	0.5526	0.2925	0.1549	NOV	2	1
CRU	0.7403	0.2037	0.0560	OPE	1	0
VNO	0.5420	0.2962	0.1619	GUA	2	1
PON	0.5230	0.3023	0.1747	ITU	1	1
CRB	0.3395	0.3333	0.3272	CRU	0	2
SPT	0.4657	0.3176	0.2167	BAH	1	0
BRU	0.5082	0.3067	0.1851	VNO	0	1
NOV	0.3799	0.3313	0.2888	GRE	2	0
OPE	0.4990	0.3093	0.1917	GUA	0	1
VAS	0.6814	0.2365	0.0821	NAU	4	1
SCO	0.5087	0.3066	0.1847	CRI	1	1
TOM	0.5169	0.3041	0.1790	LEC	1	1
CHA	0.5712	0.2858	0.1430	CSA	1	0
GUA	0.5062	0.3073	0.1865	NOV	2	0
CSA	0.4667	0.3174	0.2159	TOM	2	0
NAU	0.4037	0.3287	0.2676	SCO	1	3
CRI	0.5684	0.2868	0.1447	CHA	2	0
ITU	0.6134	0.2688	0.1178	BRU	2	0
LEC	0.5258	0.3014	0.1728	PON	0	2
GRE	0.5831	0.2812	0.1356	SPT	3	0
BAH	0.6965	0.2285	0.0750	OPE	2	2
CRU	0.6376	0.2580	0.1044	VAS	3	0
VNO	0.5480	0.2941	0.1579	CRB	1	0
PON	0.3669	0.3322	0.3008	CRU	1	4
CSA	0.5089	0.3065	0.1846	GUA	1	2
SPT	0.6791	0.2377	0.0832	NAU	2	1
BRU	0.4186	0.3266	0.2548	CRI	0	2
ITU	0.6092	0.2706	0.1202	CRB	1	0
